Fecha,BCA,BCS,CEN,NES,NOR,NTE,OCC,ORI,PEN
2020-01-01,23.566515,5.1033778,117.49409,88.46212,38.699768,53.131023,127.34591,106.9166,29.976517
2020-01-02,29.307213,5.5854983,143.90642,110.23712,42.791447,61.398979,158.9064,124.57919,33.837517
2020-01-03,31.085302,5.7682009,152.56343,119.04167,45.030628,64.624588,175.03735,131.55515,36.202038
2020-01-04,29.550413,5.7890301,146.35934,115.64552,44.831665,62.804058,169.10831,126.7724,32.787415
2020-01-05,27.785938,5.5639677,136.66946,105.2328,42.535484,59.939552,152.92401,115.12894,27.189587
2020-01-06,32.516113,5.8228421,154.37506,123.07652,46.160015,65.476273,177.99834,123.67194,28.690187
2020-01-07,33.329815,5.8716979,163.53047,125.57713,46.960613,68.44265,190.47691,125.6021,28.78528
2020-01-08,34.203312,5.9035521,165.2551,126.8402,47.170811,69.561523,192.5817,128.54457,28.633318
2020-01-09,34.696095,5.9603839,167.33286,129.82822,47.472397,68.459389,193.8649,129.0704,30.666662
2020-01-10,34.04818,5.838264,165.83076,131.72595,47.150692,67.210625,191.91978,130.11739,33.089863
2020-01-11,31.762783,5.7253866,158.14101,120.99242,45.433369,64.950233,180.85381,128.54692,33.810829
2020-01-12,29.148129,5.4406734,146.31685,107.92493,43.194134,59.870739,157.36957,120.29856,32.989548
2020-01-13,33.57045,5.7843027,161.66234,128.16327,47.251793,66.189186,185.08591,130.50841,35.471249
2020-01-14,34.568951,5.8950963,167.3423,134.91182,47.98016,70.923553,195.172,135.37329,36.219143
2020-01-15,35.345757,5.8436375,168.69328,136.68945,48.894962,64.562645,197.34724,139.58905,35.531757
2020-01-16,35.557964,5.7960877,168.03172,137.09763,49.067886,69.041336,197.33357,135.67563,33.944664
2020-01-17,34.894886,5.9758501,166.38541,136.66841,49.032387,67.28598,196.72653,134.33713,34.445404
2020-01-18,31.852102,5.9589863,156.67404,126.88351,48.170055,62.812958,185.00172,131.06375,32.731503
2020-01-19,28.261881,5.7228231,146.77718,111.5942,45.403599,58.344463,161.91733,124.29671,31.106779
2020-01-20,34.142418,5.9442177,163.3786,128.95184,48.953747,66.205048,186.02669,127.52134,31.893801
2020-01-21,35.2183,6.0525446,166.60484,136.63945,48.660061,68.291519,193.37904,125.48037,28.289742
2020-01-22,34.937073,6.0606518,167.62698,135.45084,49.103619,68.39753,194.55493,126.3421,26.824236
2020-01-23,34.948559,6.0132599,170.02927,132.13945,49.11425,68.12574,195.39326,128.35556,27.363081
2020-01-24,33.809597,5.9492226,168.02866,129.99492,48.385845,68.035667,192.8811,130.98947,28.60417
2020-01-25,30.99383,5.92662,156.27356,123.21896,47.505085,62.060051,180.87151,127.92979,28.216972
2020-01-26,28.229067,5.7114115,145.64162,108.5128,44.655079,54.805393,157.33574,123.49036,27.673958
2020-01-27,32.787991,5.945137,165.18681,128.63895,47.762005,61.78965,183.40733,132.45877,32.060532
2020-01-28,34.227905,5.9245739,164.87749,134.12558,48.786041,64.165428,193.18541,135.54115,33.934376
2020-01-29,34.272991,5.7648425,165.44527,131.01201,48.721722,65.95507,194.15819,134.53166,34.174183
2020-01-30,34.313381,5.7943912,167.34952,131.86504,48.618397,65.640404,194.77469,133.28136,32.752235
2020-01-31,33.725246,5.7929482,164.31155,130.21512,48.002232,65.028038,193.33563,135.0722,34.954815
2020-02-01,30.748793,5.8092909,153.50294,119.66404,46.698578,60.595242,180.91386,128.60144,31.481863
2020-02-02,27.230093,5.5759668,137.5168,105.40471,43.484058,54.38015,155.81271,114.71744,25.370567
2020-02-03,27.267672,5.6863613,140.84172,106.7265,43.584488,53.770737,156.61522,114.82909,26.299692
2020-02-04,32.64642,5.7534647,159.366,129.08041,47.285194,61.224148,178.68434,128.46878,32.200134
2020-02-05,34.996025,5.5388379,164.73094,130.57646,48.271915,65.479141,188.68086,135.97998,36.08215
2020-02-06,35.057777,5.5116167,162.71288,131.55315,47.838394,66.434952,185.00459,136.07109,37.006222
2020-02-07,34.258938,5.6052904,160.15637,132.17508,47.476742,65.804741,185.4538,131.40642,33.329632
2020-02-08,31.479767,5.6983466,152.7906,124.963,46.766762,61.380039,178.34625,128.97685,33.003433
2020-02-09,28.99831,5.4970775,141.50075,114.94919,43.778965,54.511902,155.07123,125.18075,32.955303
2020-02-10,34.149727,5.8586683,160.53487,139.38058,47.747421,61.540047,183.15454,134.26152,36.607426
2020-02-11,34.240955,5.8384733,166.0872,140.40205,48.168373,66.239815,193.50363,141.85114,37.816803
2020-02-12,34.665085,5.7401338,167.02899,136.46465,48.104797,67.435928,195.95375,143.85793,38.861794
2020-02-13,34.708195,5.7608562,165.30438,133.23257,48.234207,67.686417,196.0076,141.57773,39.100174
2020-02-14,33.941223,5.8742709,164.70265,134.90945,47.791298,67.653168,195.36095,134.74464,38.614811
2020-02-15,31.157478,5.8601956,153.73479,125.17127,46.710457,63.607609,185.85336,132.55087,36.642189
2020-02-16,28.319786,5.7103424,140.35379,110.24269,44.894436,57.205379,163.6064,126.9378,33.929695
2020-02-17,32.841713,5.9473062,159.81372,135.75972,49.047676,64.910133,193.02322,137.89487,36.560329
2020-02-18,33.821854,6.1866255,166.90469,143.80006,51.305557,67.084549,203.16893,141.03717,38.116814
2020-02-19,34.545116,6.3296847,164.67508,138.10977,51.659798,68.674889,205.96198,143.43282,39.596107
2020-02-20,34.699417,6.3884263,166.37285,136.22598,52.139328,69.306435,206.77292,144.09912,39.510712
2020-02-21,34.109871,6.4947338,165.77034,137.24437,52.701836,69.353088,204.62105,137.76897,37.729897
2020-02-22,31.070173,6.5092254,157.03543,127.87641,51.859756,65.205315,194.10329,126.38814,31.16795
2020-02-23,28.502758,6.104353,142.63503,110.65537,47.315426,58.376781,169.64043,119.07686,28.010571
2020-02-24,33.726044,6.1330714,163.60297,134.62099,49.866329,66.591797,195.41086,131.66954,34.014572
2020-02-25,34.152458,6.0976324,168.01175,137.63316,50.766376,69.672783,205.44606,137.0726,36.655197
2020-02-26,32.575874,6.1010346,165.8775,129.71835,51.566929,71.66124,203.70082,134.55951,37.51366
2020-02-27,33.578495,6.1023569,164.53162,134.17456,51.563904,72.404549,201.21805,127.30774,29.870262
2020-02-28,33.558647,6.195055,163.99107,134.27597,52.104973,71.778229,200.77257,127.43192,27.847811
2020-02-29,30.510529,6.1686831,155.87297,125.11987,50.686657,66.692009,190.77905,126.67976,26.537045
2020-03-01,27.598852,5.9915414,143.30972,112.74985,46.624458,58.697758,166.80296,119.03376,25.942255
2020-03-02,32.083569,6.228569,163.51578,138.31007,50.32188,67.022469,194.29446,134.01538,32.566959
2020-03-03,33.397175,5.8979845,168.88472,144.01103,49.041115,69.014641,204.76173,143.51964,38.153694
2020-03-04,33.983536,5.831862,170.52264,144.11177,48.938969,69.873932,206.12262,149.47475,40.658691
2020-03-05,34.609715,5.9956098,168.13206,133.09401,50.246334,70.610504,206.86072,142.71727,40.570164
2020-03-06,34.085052,6.0681992,166.89069,133.10638,50.593548,70.179672,203.76044,134.08029,35.550743
2020-03-07,31.159229,6.0276074,156.60533,124.06422,50.797192,65.372261,193.27344,129.26877,30.77998
2020-03-08,27.024517,5.7239318,144.40509,111.4881,46.410934,59.028198,168.26039,121.16205,28.578173
2020-03-09,33.120144,6.1921229,161.82683,131.89276,50.567856,66.596443,194.7903,131.16006,32.000278
2020-03-10,33.418568,6.3302908,171.47395,139.24976,52.775597,70.247154,206.3196,136.90298,34.13002
2020-03-11,33.704281,6.5980334,171.9575,144.16676,55.292522,71.472633,209.32382,140.6041,35.082195
2020-03-12,33.740406,6.8915472,172.80037,147.92479,54.297756,70.638725,211.38911,142.25385,35.626144
2020-03-13,33.326653,6.739759,173.66547,152.29942,53.322971,70.044487,210.54208,147.59102,36.561543
2020-03-14,30.54248,6.479785,162.1505,145.40894,51.840557,66.668495,197.2476,147.26111,36.377041
2020-03-15,27.601568,5.9521194,146.85713,125.97832,47.688656,60.070156,170.97324,138.0013,34.498344
2020-03-16,27.747065,6.0435271,145.66124,122.4666,49.892273,62.724602,170.72684,137.55933,35.870678
2020-03-17,31.809259,6.1854963,164.25645,146.83832,51.781841,71.187584,195.19444,142.78004,37.302593
2020-03-18,33.378822,5.9496031,168.28821,154.08804,51.125637,74.422195,207.41466,150.11736,38.30547
2020-03-19,33.595692,5.9235997,172.27522,159.41882,51.019169,73.793922,207.57326,152.21976,38.736382
2020-03-20,32.928352,5.881918,171.16023,152.03358,50.554752,74.111435,206.59814,151.92963,38.72633
2020-03-21,29.91853,5.5184569,159.92819,129.79764,50.125355,70.385391,195.7179,149.10809,36.201603
2020-03-22,27.520271,5.154911,145.9984,114.47124,47.193302,62.895977,170.90111,140.01309,33.202377
2020-03-23,32.10239,5.4981351,162.34283,138.32355,51.908897,72.266129,195.76334,148.42203,35.028332
2020-03-24,32.306801,5.5313535,169.63382,150.91644,54.052925,76.670273,204.70114,148.84785,35.407707
2020-03-25,32.627312,5.4960213,168.27054,160.70526,54.401604,78.971077,205.58165,152.38631,35.617352
2020-03-26,32.306618,5.4706516,169.56921,160.7619,54.493176,80.499306,204.67198,152.3259,35.349388
2020-03-27,31.679642,5.3191581,166.79167,161.34479,53.584091,77.977432,201.61403,152.61761,35.292385
2020-03-28,29.103367,5.0912142,159.34341,150.48703,50.984653,73.719246,191.23488,150.42593,34.306389
2020-03-29,26.850653,4.8193517,147.51097,124.07041,47.546726,65.409393,169.91086,142.526,32.529587
2020-03-30,31.269289,5.0882721,160.57877,135.64001,50.694805,74.89608,190.89154,145.23558,35.89114
2020-03-31,31.889387,5.0450373,162.97623,144.6985,51.180218,78.125076,197.18297,145.82739,35.902729
2020-04-01,32.119541,5.0571656,160.85919,141.28748,51.461758,78.210419,193.25911,145.0004,34.630547
2020-04-02,32.225948,5.2143164,159.20764,141.30098,51.081875,77.534622,189.1669,146.10764,34.561939
2020-04-03,31.132778,5.27665,157.56389,142.24425,50.842419,76.46933,186.63423,147.47009,34.907177
2020-04-04,28.920633,5.1914926,148.86305,123.72034,50.31813,72.63208,179.65758,144.18439,33.69133
2020-04-05,26.472017,4.8224807,132.43959,99.000198,46.005222,60.55275,153.23051,130.05707,29.819977
2020-04-06,29.559765,5.1354384,146.62801,115.14387,49.254738,71.990463,170.48293,140.21822,34.143677
2020-04-07,29.776878,5.0792446,148.99492,127.51411,50.995155,75.124123,176.91609,142.60803,35.059414
2020-04-08,29.447315,5.0331054,150.67609,136.56711,51.058926,75.879181,177.50623,145.84624,35.171276
2020-04-09,28.28558,4.7727613,142.14963,136.1333,49.172333,73.811928,166.53098,145.11311,34.900597
2020-04-10,26.390301,4.4991407,131.18376,127.44635,46.701214,61.160206,147.51167,136.3511,33.485928
2020-04-11,25.013817,4.4135265,133.77505,117.92612,45.408882,66.081322,153.23544,136.92656,33.37471
2020-04-12,24.180004,4.2864032,128.64436,119.70953,42.795975,61.540634,148.06639,134.38777,33.545006
2020-04-13,27.142956,4.6514602,146.96466,129.38603,46.994808,66.447662,167.34624,142.83441,36.668873
2020-04-14,27.048841,4.8650117,149.9108,119.06167,49.297157,68.906158,174.1868,143.83475,36.65168
2020-04-15,27.393896,4.9209929,152.14403,108.74329,50.696888,72.666298,176.30464,143.43925,35.816986
2020-04-16,27.123297,4.9727135,152.28235,108.2331,51.004562,74.496567,175.46207,138.06683,35.163403
2020-04-17,26.230682,5.0488048,151.41168,116.38065,51.529095,73.808723,173.21176,140.51193,35.408932
2020-04-18,24.451221,4.936501,147.67902,120.72817,51.35817,71.549873,171.95306,140.87086,35.014519
2020-04-19,23.573738,4.7437534,138.31009,123.11923,48.727715,64.222366,157.51357,136.56721,33.588409
2020-04-20,25.839653,4.943037,149.66656,142.10399,52.180969,72.505798,172.23077,143.7562,36.073818
2020-04-21,26.241112,5.0937543,152.64078,147.87633,54.106968,76.383514,177.75848,145.93375,36.153793
2020-04-22,28.07118,5.203908,153.18532,153.04013,55.039139,77.139412,176.60162,147.34108,36.111767
2020-04-23,30.613901,5.3171945,152.09619,151.86284,56.567818,77.219673,175.11162,147.27698,37.126602
2020-04-24,32.461933,5.5697966,150.82567,151.21851,58.672829,77.374588,174.04611,145.89958,37.465244
2020-04-25,33.482327,5.6937528,143.64989,141.88849,58.911705,74.622833,168.39882,143.10695,35.984104
2020-04-26,34.110088,5.7403088,134.1106,119.34843,58.874954,68.2136,155.32401,129.8287,33.046406
2020-04-27,36.426075,6.2132258,144.68462,132.56375,63.624168,76.404907,168.36572,128.98984,34.45229
2020-04-28,36.338436,6.330348,148.4906,141.62149,65.50325,80.590698,173.74318,133.5313,33.638054
2020-04-29,37.713303,6.1503325,148.08405,139.08078,66.743919,80.160194,172.38341,139.12997,33.650467
2020-04-30,36.63343,6.1775055,145.98676,126.52013,68.197083,82.426849,168.08136,133.74602,32.960178
2020-05-01,33.741917,5.9330854,125.90913,117.34109,67.046173,76.926559,155.13885,126.86346,29.914284
2020-05-02,32.984776,5.8352513,127.2782,130.60149,66.501595,77.08429,157.405,126.43459,30.8356
2020-05-03,32.133911,5.8818688,128.61696,133.5775,65.140724,71.914474,151.60172,127.2628,31.521667
2020-05-04,36.778385,6.1009688,142.01546,152.10712,69.236137,80.102028,171.75822,135.66925,34.100319
2020-05-05,40.187042,5.925456,147.64674,158.47084,71.527351,82.814369,173.17075,137.48555,35.236187
2020-05-06,42.657162,6.0962958,145.72011,145.35271,74.858948,82.409172,168.02528,134.70842,35.157856
2020-05-07,43.415794,5.9695663,143.4319,143.9827,75.226593,83.463699,165.05049,127.50127,32.202679
2020-05-08,42.966858,5.7156301,143.06538,143.35112,74.484283,79.825661,166.72821,129.55,32.19545
2020-05-09,39.96978,5.5941558,138.03383,121.23862,71.142815,75.764481,162.05116,132.63373,32.259251
2020-05-10,36.782356,5.362103,126.90008,108.61642,66.369545,68.600822,145.28416,120.61792,27.154711
2020-05-11,39.953007,5.6319723,137.1974,127.52217,68.706795,76.430191,162.94269,128.33253,28.470823
2020-05-12,37.489189,5.632606,143.09006,136.89186,69.387466,80.255547,168.11105,131.61899,29.602129
2020-05-13,36.513817,5.7628775,144.2621,143.74138,68.988449,82.516846,170.82388,139.26831,31.316378
2020-05-14,37.437481,5.8339686,145.09146,147.51903,68.14933,83.295341,173.14832,142.14175,33.223114
2020-05-15,38.302776,5.6965222,145.49886,151.96597,67.56958,83.415688,175.84232,144.8674,34.283752
2020-05-16,38.040077,5.5782762,142.40842,140.69002,67.480812,81.036003,170.17336,144.87389,34.282963
2020-05-17,36.210579,5.3156981,133.32716,129.77649,65.885612,74.276535,156.0769,137.35605,33.83128
2020-05-18,38.925018,5.5140424,145.05388,151.55991,69.281395,85.698723,174.77316,137.32108,34.06889
2020-05-19,35.083931,5.4947524,148.51448,161.88705,70.636322,89.997154,180.2365,139.37454,32.469135
2020-05-20,35.3526,5.5956187,149.70627,166.53308,70.948708,90.465424,183.48547,143.60091,34.20977
2020-05-21,37.957409,5.6668615,151.34641,160.20998,70.704857,85.661896,184.90346,143.52029,34.509239
2020-05-22,38.807117,5.7215071,148.44778,154.74403,70.666725,87.779625,185.54791,135.18265,33.570415
2020-05-23,36.038853,5.6574244,141.75856,153.30824,70.018753,85.88105,179.16104,135.65176,30.519928
2020-05-24,35.075157,5.3533812,132.84875,140.08348,66.742615,76.91584,163.0278,130.92603,28.861305
2020-05-25,41.062279,5.5921426,145.69118,153.21207,69.96373,86.823395,182.66815,139.75659,33.024281
2020-05-26,43.655296,5.7035298,136.20015,151.36745,72.221939,90.137039,188.73833,142.64345,33.458969
2020-05-27,45.15987,5.7018166,152.46603,156.1794,73.480133,92.358299,191.88008,142.96178,34.512489
2020-05-28,46.614243,5.7589126,150.12134,159.80113,75.021942,93.709709,192.265,139.96056,36.052547
2020-05-29,45.634457,5.8326225,144.27565,143.64157,76.763542,93.278458,191.01857,129.43655,34.622536
2020-05-30,41.028179,5.792901,137.66612,131.84958,76.891884,87.586777,180.16216,122.65912,30.236322
2020-05-31,37.853771,5.5888624,128.83234,119.79375,73.655159,77.735924,160.82053,116.85561,28.281576
2020-06-01,43.937767,6.0447164,141.3643,142.59804,77.606483,86.195656,188.86278,122.46588,28.672592
2020-06-02,45.897346,6.1086025,148.05049,149.85519,80.488411,91.118782,199.26476,126.38974,28.026741
2020-06-03,48.599659,6.4130216,150.05873,157.3873,84.500168,96.619507,203.3448,126.00203,27.524683
2020-06-04,48.990349,6.4600649,149.37422,164.9446,88.506386,100.30234,204.63712,128.69896,26.95116
2020-06-05,45.300186,6.3472867,147.35132,165.97441,88.036812,101.68453,204.08501,132.21358,25.649796
2020-06-06,38.23288,6.135169,143.00528,157.75891,79.877647,97.960632,192.53079,131.00101,26.178568
2020-06-07,35.515625,5.870625,134.68346,149.76793,74.283195,86.626305,167.07147,126.30305,28.451279
2020-06-08,38.558586,6.0624471,150.58798,179.3902,78.49543,98.156387,194.74628,137.49921,34.114262
2020-06-09,41.476429,6.0419159,153.15289,186.72853,79.157776,99.250084,200.81232,143.64937,36.380508
2020-06-10,45.021111,6.2556992,157.0488,174.29581,81.247589,99.335373,199.80992,142.32578,36.414349
2020-06-11,47.625042,6.7320199,154.3754,165.246,85.4263,99.978432,200.78275,134.86575,35.482979
2020-06-12,46.481796,7.32236,150.58363,159.99245,89.12336,98.430367,197.52269,135.74631,33.554359
2020-06-13,41.984547,7.4595041,143.26918,149.05157,89.178963,92.358826,184.4203,130.68633,31.592543
2020-06-14,38.768997,7.1615901,128.37997,138.46286,85.12645,82.644638,165.15503,125.18596,29.978613
2020-06-15,44.893234,7.6648822,144.93367,163.84241,87.777328,94.202942,193.63766,132.53325,32.503231
2020-06-16,45.908844,7.8055549,151.93948,172.80956,89.038521,99.316658,204.20712,134.18895,32.370926
2020-06-17,45.515594,7.7323785,154.52879,175.55167,88.079468,101.45488,207.60402,137.99615,32.508274
2020-06-18,46.133476,7.9181108,155.88725,177.52554,89.544266,102.09482,207.00726,139.16583,31.778505
2020-06-19,46.620647,7.8335323,154.16173,173.90211,89.637619,101.5523,202.13741,141.02884,32.272682
2020-06-20,45.378418,7.7601099,147.46606,165.83427,88.972847,97.406189,192.15364,140.3183,32.498825
2020-06-21,42.769268,7.4634609,132.84595,154.52377,85.199783,85.961868,166.13591,133.80409,31.996719
2020-06-22,48.231098,7.7522588,148.41933,179.87393,90.119797,100.10308,189.26294,141.51381,35.47438
2020-06-23,49.270603,7.5927849,152.89799,184.30881,92.375397,105.74961,196.55917,138.47223,36.696026
2020-06-24,50.030212,7.7523179,153.27458,176.23041,93.163933,100.40617,194.42944,132.14537,37.229275
2020-06-25,49.453377,7.6985893,153.1698,166.01381,93.894516,99.730576,193.72975,132.16367,37.644585
2020-06-26,50.716591,7.6358185,152.64529,162.17464,93.948357,101.75489,187.70702,135.84955,38.008682
2020-06-27,48.308994,8.102026,145.18553,154.37341,90.727631,95.186157,176.02164,133.29033,36.726894
2020-06-28,44.300106,8.0568094,133.55493,146.2365,87.795494,83.311852,157.91084,125.61077,34.968472
2020-06-29,43.650993,8.5515394,147.91803,172.01099,92.342346,97.310684,183.04317,136.99596,38.231842
2020-06-30,44.989368,8.0722885,149.16515,177.76663,92.389328,101.51053,191.9761,140.23802,39.515274
