Fecha,dia,mes,year,Punto 1,Punto 2,Punto 3,Punto 4,Punto 5,Punto 6,Punto 7,Punto 8,Punto 9,Punto 10,Punto 11,Punto 12,Punto 13,Punto 14,Punto 15,Punto 16,Punto 17,Total
2019-01-01,1,1,2019,0,0,0,0,0,0,0,0,0,0,10016,0,0,0,0,38032,0,50069
2019-01-02,2,1,2019,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,38032,0,50054
2019-01-03,3,1,2019,0,0,0,0,0,0,0,0,334596,0,33200,0,0,0,0,0,0,369819
2019-01-04,4,1,2019,0,0,0,0,0,0,22032,0,420424,0,0,0,0,0,0,19504,0,463984
2019-01-05,5,1,2019,0,0,0,0,0,0,0,0,320722,0,10000,0,0,0,0,0,0,332747
2019-01-06,6,1,2019,0,0,0,0,0,0,0,0,217850,0,10000,0,0,0,0,0,0,229876
2019-01-07,7,1,2019,0,0,0,0,0,0,0,0,266502,0,33200,0,0,0,0,0,0,301729
2019-01-08,8,1,2019,0,0,0,0,0,0,0,0,414854,0,74794,0,0,0,0,0,0,491676
2019-01-09,9,1,2019,0,0,0,0,40000,0,110136,0,383810,0,33200,0,0,0,0,0,0,569175
2019-01-10,10,1,2019,0,0,0,0,0,0,0,0,402810,0,33200,0,0,0,0,0,0,438040
2019-01-11,11,1,2019,0,0,0,0,0,0,0,0,475992,0,38428,0,0,0,0,0,0,516451
2019-01-12,12,1,2019,19300,0,0,0,0,0,0,0,473536,0,33200,0,0,0,0,10700,0,538768
2019-01-13,13,1,2019,19300,0,0,0,0,0,0,0,473536,0,33200,0,0,0,0,46636,0,574705
2019-01-14,14,1,2019,0,0,0,0,18198,0,0,0,473536,0,33200,0,0,0,0,0,0,526968
2019-01-15,15,1,2019,13142,0,0,0,0,0,18080,0,450804,0,10000,0,0,0,0,0,5768,499829
2019-01-16,16,1,2019,32226,0,0,0,0,0,34494,0,454380,0,10000,0,0,0,0,30016,11374,574526
2019-01-17,17,1,2019,37794,0,0,9672,0,0,0,0,470630,0,10000,0,0,0,0,54210,7584,591927
2019-01-18,18,1,2019,0,0,0,0,0,0,0,0,479344,0,10000,0,0,0,0,0,0,491382
2019-01-19,19,1,2019,0,0,0,0,0,0,0,0,531154,0,10000,0,0,0,0,0,0,543193
2019-01-20,20,1,2019,0,0,0,0,0,0,0,0,555410,0,10000,0,0,0,0,0,0,567450
2019-01-21,21,1,2019,0,0,0,15678,18062,0,0,0,485098,0,10000,0,0,0,0,12800,0,543679
2019-01-22,22,1,2019,0,0,0,0,0,0,0,0,526318,0,10000,0,0,0,0,0,0,538360
2019-01-23,23,1,2019,0,62238,0,0,0,0,0,0,583818,0,10000,0,0,0,0,0,0,658099
2019-01-24,24,1,2019,0,0,0,0,0,0,0,0,511748,0,10000,0,0,0,0,0,0,523792
2019-01-25,25,1,2019,0,0,0,0,0,0,0,0,560670,0,10000,0,0,0,0,0,0,572715
2019-01-26,26,1,2019,0,0,0,0,0,0,0,0,549264,0,10000,0,0,0,0,0,0,561310
2019-01-27,27,1,2019,0,0,0,0,0,0,0,0,548826,0,10000,0,0,0,0,0,0,560873
2019-01-28,28,1,2019,34654,0,0,39804,0,0,0,0,549264,0,10000,0,0,0,0,0,11522,647292
2019-01-29,29,1,2019,0,0,0,15476,0,0,0,0,553252,0,10000,0,0,0,0,0,11014,591791
2019-01-30,30,1,2019,0,0,0,19344,0,0,0,0,549264,0,10000,0,0,0,0,0,10630,591288
2019-01-31,31,1,2019,0,0,0,38304,0,0,0,0,480382,0,10000,0,0,0,0,0,18336,549073
2019-02-01,1,2,2019,0,0,0,0,0,0,0,0,544062,0,0,0,158400,0,0,0,0,704484
2019-02-02,2,2,2019,0,0,0,47304,0,0,0,0,547264,0,0,0,138598,0,0,0,10382,745571
2019-02-03,3,2,2019,27020,0,0,0,17532,0,0,0,547264,0,0,0,10000,0,0,0,0,603840
2019-02-04,4,2,2019,31452,0,0,0,0,0,0,0,547266,0,0,0,138600,0,0,0,8462,727805
2019-02-05,5,2,2019,8664,0,0,0,0,0,0,0,547360,0,0,0,118602,0,0,0,0,676652
2019-02-06,6,2,2019,0,0,0,0,0,0,0,0,547266,0,0,0,118604,0,0,0,0,667897
2019-02-07,7,2,2019,0,0,0,50000,0,0,0,0,547460,0,0,0,135986,0,0,0,0,735474
2019-02-08,8,2,2019,0,0,0,0,0,0,0,0,547560,0,0,0,73054,0,0,0,0,622643
2019-02-09,9,2,2019,0,0,0,124996,0,0,0,0,507560,0,0,0,0,0,0,0,0,634586
2019-02-10,10,2,2019,0,0,0,60310,0,0,0,0,357210,0,0,0,0,0,0,0,0,419551
2019-02-11,11,2,2019,0,0,0,20904,0,0,0,0,547560,0,0,0,0,0,0,0,0,570496
2019-02-12,12,2,2019,0,0,0,0,0,0,0,0,547560,0,0,0,10000,0,0,0,0,559593
2019-02-13,13,2,2019,0,0,0,38786,0,0,0,0,547560,0,0,0,118404,0,0,5600,0,712384
2019-02-14,14,2,2019,0,0,0,19026,0,0,0,0,547562,0,0,0,118404,0,0,6800,0,693827
2019-02-15,15,2,2019,0,0,0,0,0,0,0,0,547560,0,0,0,118404,0,0,0,0,668000
2019-02-16,16,2,2019,0,0,0,30000,0,0,30832,0,547560,0,0,0,118404,0,0,0,0,728833
2019-02-17,17,2,2019,0,0,0,70000,0,0,0,0,547560,0,0,0,118404,0,0,0,0,738002
2019-02-18,18,2,2019,0,0,0,23400,0,0,18960,0,547560,0,0,0,118404,0,0,20800,0,731163
2019-02-19,19,2,2019,0,0,0,31074,0,0,21884,0,547560,0,0,0,118404,0,0,0,0,720962
2019-02-20,20,2,2019,0,0,0,0,0,0,0,0,547560,0,0,0,118404,0,0,0,0,668005
2019-02-21,21,2,2019,0,0,0,0,0,0,16742,0,547560,0,0,0,158204,0,0,0,0,724548
2019-02-22,22,2,2019,0,45482,0,0,0,0,0,0,547560,0,0,0,158204,0,0,0,0,753289
2019-02-23,23,2,2019,0,0,0,0,0,0,0,0,547560,0,0,0,106432,0,0,0,0,656036
2019-02-24,24,2,2019,0,0,0,0,0,0,0,0,547560,0,0,0,106432,0,0,0,0,656037
2019-02-25,25,2,2019,0,0,0,0,0,0,0,0,547560,0,0,0,106432,0,0,0,0,656038
2019-02-26,26,2,2019,0,0,0,0,0,0,0,0,547560,0,0,0,110224,0,0,0,0,659831
2019-02-27,27,2,2019,0,0,0,95764,0,0,0,0,547560,0,0,0,118404,0,0,0,0,763776
2019-02-28,28,2,2019,0,0,0,52064,5560,0,0,0,547560,0,0,0,118404,0,0,0,0,725637
2019-03-01,1,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679361
2019-03-02,2,3,2019,0,0,0,0,0,0,0,0,431630,0,0,0,118404,0,0,0,0,552058
2019-03-03,3,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679363
2019-03-04,4,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679364
2019-03-05,5,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679365
2019-03-06,6,3,2019,0,0,0,0,0,0,0,0,513522,0,0,0,163702,0,0,0,0,679252
2019-03-07,7,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679367
2019-03-08,8,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679368
2019-03-09,9,3,2019,0,0,9600,30836,20000,0,0,0,558934,0,0,0,118404,0,0,0,0,739805
2019-03-10,10,3,2019,74244,0,24748,0,26000,0,48742,0,558934,0,0,0,118404,0,0,29550,0,882654
2019-03-11,11,3,2019,32000,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,711371
2019-03-12,12,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679372
2019-03-13,13,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679373
2019-03-14,14,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679374
2019-03-15,15,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679375
2019-03-16,16,3,2019,34782,0,0,0,21984,0,0,0,558934,0,0,0,118404,0,0,33990,0,770132
2019-03-17,17,3,2019,0,0,0,22648,27622,0,0,0,558934,0,0,0,118404,0,0,0,0,729647
2019-03-18,18,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679378
2019-03-19,19,3,2019,0,0,0,0,21000,0,0,0,558934,0,0,0,118404,0,0,0,0,700379
2019-03-20,20,3,2019,0,0,9576,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,688956
2019-03-21,21,3,2019,146162,0,46422,0,0,0,63032,0,558934,0,0,0,108404,0,0,0,0,924997
2019-03-22,22,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679382
2019-03-23,23,3,2019,0,0,0,20000,0,0,0,0,558934,0,0,0,118402,0,0,0,0,699381
2019-03-24,24,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679384
2019-03-25,25,3,2019,60000,0,20000,0,40000,0,0,0,558934,0,0,0,118404,0,0,20000,0,819385
2019-03-26,26,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679386
2019-03-27,27,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118402,0,0,0,0,679385
2019-03-28,28,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,118404,0,0,0,0,679388
2019-03-29,29,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,116334,0,0,0,0,677319
2019-03-30,30,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,116336,0,0,0,0,677322
2019-03-31,31,3,2019,0,0,0,0,0,0,0,0,558934,0,0,0,116336,0,0,0,0,677323
2019-04-01,1,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
2019-04-02,2,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
2019-04-03,3,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
2019-04-04,4,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
2019-04-05,5,4,2019,0,0,0,33200,0,0,0,0,0,0,0,0,0,0,0,0,0,35228
2019-04-06,6,4,2019,34400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36429
2019-04-07,7,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2030
2019-04-08,8,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2031
2019-04-09,9,4,2019,0,0,0,24000,0,0,56876,0,0,0,0,0,0,0,0,0,0,82908
2019-04-10,10,4,2019,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,19033
2019-04-11,11,4,2019,0,0,0,98600,8000,0,0,0,0,0,0,0,0,0,0,0,0,108634
2019-04-12,12,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2035
2019-04-13,13,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036
2019-04-14,14,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037
2019-04-15,15,4,2019,12006,0,61454,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,105498
2019-04-16,16,4,2019,12738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14777
2019-04-17,17,4,2019,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,26040
2019-04-18,18,4,2019,0,0,0,68000,0,0,0,0,0,0,0,0,0,0,0,0,0,70041
2019-04-19,19,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042
2019-04-20,20,4,2019,0,0,0,102000,0,0,50230,0,0,0,0,0,0,0,0,0,0,154273
2019-04-21,21,4,2019,0,0,0,105000,0,0,0,0,0,0,0,0,0,0,0,12500,0,119544
2019-04-22,22,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045
2019-04-23,23,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2046
2019-04-24,24,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2047
2019-04-25,25,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048
2019-04-26,26,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2049
2019-04-27,27,4,2019,0,0,20000,0,0,0,2220,0,0,0,0,0,0,0,0,0,0,24270
2019-04-28,28,4,2019,0,31054,0,99868,0,0,40000,0,0,0,0,0,0,0,0,0,0,172973
2019-04-29,29,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052
2019-04-30,30,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2053
2019-05-01,1,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
2019-05-02,2,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
2019-05-03,3,5,2019,0,0,0,0,0,0,117580,0,0,0,0,0,0,0,0,0,0,119607
2019-05-04,4,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028
2019-05-05,5,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029
2019-05-06,6,5,2019,0,0,0,0,0,0,24568,0,0,0,0,0,0,0,0,0,0,26598
2019-05-07,7,5,2019,106030,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,130061
2019-05-08,8,5,2019,116126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118158
2019-05-09,9,5,2019,0,0,0,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,40033
2019-05-10,10,5,2019,85304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87338
2019-05-11,11,5,2019,84782,0,23002,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,129819
2019-05-12,12,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036
2019-05-13,13,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037
2019-05-14,14,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2038
2019-05-15,15,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2039
2019-05-16,16,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040
2019-05-17,17,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2041
2019-05-18,18,5,2019,71532,0,0,120924,0,0,0,0,0,0,0,0,0,0,0,0,0,194498
2019-05-19,19,5,2019,0,0,50000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,62043
2019-05-20,20,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2044
2019-05-21,21,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045
2019-05-22,22,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2046
2019-05-23,23,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2047
2019-05-24,24,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048
2019-05-25,25,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2049
2019-05-26,26,5,2019,48830,0,29200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80080
2019-05-27,27,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2051
2019-05-28,28,5,2019,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66052
2019-05-29,29,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2053
2019-05-30,30,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2054
2019-05-31,31,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055
2019-06-01,1,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
2019-06-02,2,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
2019-06-03,3,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028
2019-06-04,4,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029
2019-06-05,5,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2030
2019-06-06,6,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2031
2019-06-07,7,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032
2019-06-08,8,6,2019,0,0,0,0,0,0,85000,0,0,0,0,0,0,0,0,0,0,87033
2019-06-09,9,6,2019,0,0,0,0,0,0,110070,0,0,0,0,0,0,0,0,0,0,112104
2019-06-10,10,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2035
2019-06-11,11,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036
2019-06-12,12,6,2019,0,0,0,0,0,0,79800,0,0,0,0,0,0,0,0,0,0,81837
2019-06-13,13,6,2019,0,0,0,0,0,0,0,0,0,0,0,120776,0,0,0,0,0,122814
2019-06-14,14,6,2019,0,0,0,0,0,0,0,0,0,0,0,198382,0,0,0,0,0,200421
2019-06-15,15,6,2019,2,0,0,0,0,0,0,0,0,0,0,303316,0,0,0,0,0,305358
2019-06-16,16,6,2019,67004,0,0,0,0,0,0,0,0,0,0,284480,0,0,0,0,0,353525
2019-06-17,17,6,2019,0,0,0,0,0,0,0,0,0,0,0,289668,56660,0,0,0,0,348370
2019-06-18,18,6,2019,0,0,0,0,0,0,0,0,0,0,0,285118,0,0,0,0,0,287161
2019-06-19,19,6,2019,0,0,0,0,0,0,0,0,0,0,0,725282,0,0,0,0,0,727326
2019-06-20,20,6,2019,0,0,0,0,0,0,0,0,0,0,0,202820,0,0,0,0,0,204865
2019-06-21,21,6,2019,0,0,0,0,0,0,0,0,0,0,0,86378,0,0,0,0,0,88424
2019-06-22,22,6,2019,0,0,0,0,0,0,0,0,0,0,0,227476,0,0,0,0,0,229523
2019-06-23,23,6,2019,0,0,0,0,0,0,0,0,60152,0,0,741936,60000,0,0,0,0,864136
2019-06-24,24,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2049
2019-06-25,25,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,2418
2019-06-26,26,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,49850,0,0,0,0,51901
2019-06-27,27,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052
2019-06-28,28,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,8998,0,0,0,0,11051
2019-06-29,29,6,2019,0,0,0,10000,0,0,50000,0,0,0,0,0,29850,0,0,0,0,91904
2019-06-30,30,6,2019,0,0,0,40000,0,0,70000,0,0,0,0,0,29850,0,0,17552,0,159457
2019-07-01,1,7,2019,22748,0,0,0,25000,0,0,0,0,0,0,208520,0,0,0,0,0,258295
2019-07-02,2,7,2019,28434,0,0,0,0,0,0,0,0,0,0,208524,0,0,0,0,0,238986
2019-07-03,3,7,2019,0,0,0,0,0,0,0,0,0,0,0,208580,0,0,0,0,0,210609
2019-07-04,4,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2030
2019-07-05,5,7,2019,0,0,0,58000,0,0,60000,0,0,0,0,0,0,0,0,0,0,120031
2019-07-06,6,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032
2019-07-07,7,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033
2019-07-08,8,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034
2019-07-09,9,7,2019,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,42035
2019-07-10,10,7,2019,0,0,0,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,82036
2019-07-11,11,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037
2019-07-12,12,7,2019,0,0,0,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,162038
2019-07-13,13,7,2019,0,0,0,148168,35638,0,0,0,0,0,0,0,0,0,0,0,0,185845
2019-07-14,14,7,2019,0,0,0,0,148168,0,0,0,0,0,0,0,0,0,0,0,0,150208
2019-07-15,15,7,2019,0,0,0,158168,0,0,0,0,0,0,0,0,0,0,0,0,0,160209
2019-07-16,16,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042
2019-07-17,17,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043
2019-07-18,18,7,2019,0,0,0,136000,0,0,0,0,0,0,0,0,0,0,0,0,0,138044
2019-07-19,19,7,2019,0,0,0,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,7845
2019-07-20,20,7,2019,0,0,0,0,0,0,28898,0,0,0,0,0,0,0,0,0,0,30944
2019-07-21,21,7,2019,0,0,0,0,0,0,52000,0,0,0,0,0,0,0,0,0,0,54047
2019-07-22,22,7,2019,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34048
2019-07-23,23,7,2019,0,0,0,0,0,0,37916,0,0,0,0,0,0,0,0,0,0,39965
2019-07-24,24,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050
2019-07-25,25,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2051
2019-07-26,26,7,2019,0,0,0,0,138000,0,0,0,0,0,0,0,0,0,0,0,0,140052
2019-07-27,27,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2053
2019-07-28,28,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2054
2019-07-29,29,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055
2019-07-30,30,7,2019,0,0,0,0,107348,0,0,0,0,0,0,0,0,0,0,0,0,109404
2019-07-31,31,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2057
2019-08-01,1,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028
2019-08-02,2,8,2019,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,20029
2019-08-03,3,8,2019,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,20030
2019-08-04,4,8,2019,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,20031
2019-08-05,5,8,2019,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,20032
2019-08-06,6,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033
2019-08-07,7,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034
2019-08-08,8,8,2019,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,20035
2019-08-09,9,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036
2019-08-10,10,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037
2019-08-11,11,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2038
2019-08-12,12,8,2019,45354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47393
2019-08-13,13,8,2019,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,20040
2019-08-14,14,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2041
2019-08-15,15,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042
2019-08-16,16,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,56272,0,0,0,0,58315
2019-08-17,17,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,16412,0,0,0,0,18456
2019-08-18,18,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,16412,0,0,0,0,18457
2019-08-19,19,8,2019,0,0,0,10000,0,0,0,0,0,0,0,0,16412,0,0,0,0,28458
2019-08-20,20,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,86194,0,0,0,0,88241
2019-08-21,21,8,2019,0,0,0,86236,0,0,0,0,0,0,0,0,82272,0,0,0,0,170556
2019-08-22,22,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,48376,0,0,0,0,50425
2019-08-23,23,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,24830,0,0,0,0,26880
2019-08-24,24,8,2019,0,0,30000,96000,0,0,49456,0,0,0,0,0,49426,0,0,0,0,226933
2019-08-25,25,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,49426,0,0,0,0,51478
2019-08-26,26,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,29102,0,0,0,0,31155
2019-08-27,27,8,2019,0,0,51188,0,0,0,0,0,4018,0,0,0,84404,0,0,0,0,141664
2019-08-28,28,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,95868,0,0,0,0,97923
2019-08-29,29,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,53220,0,0,0,0,55276
2019-08-30,30,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,90088,0,0,0,0,92145
2019-08-31,31,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,86168,0,0,0,0,88226
2019-09-01,1,9,2019,0,34210,0,168034,36016,0,0,0,0,0,0,0,46692,0,0,0,0,286981
2019-09-02,2,9,2019,0,6210,18956,189832,36016,0,45196,0,0,0,0,0,46690,0,0,0,0,344930
2019-09-03,3,9,2019,0,0,27540,134104,0,0,65208,0,0,0,0,157060,0,0,0,0,0,385943
2019-09-04,4,9,2019,0,0,0,0,0,0,0,0,0,0,0,155888,0,0,0,0,0,157920
2019-09-05,5,9,2019,0,0,29236,0,0,0,0,0,0,0,0,136256,0,0,0,0,0,167525
2019-09-06,6,9,2019,0,0,0,0,0,0,50026,0,0,0,0,100000,0,0,0,0,0,152060
2019-09-07,7,9,2019,0,0,11260,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,113295
2019-09-08,8,9,2019,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,102036
2019-09-09,9,9,2019,0,0,0,8334,0,0,0,0,0,0,0,100000,0,0,0,0,0,110371
2019-09-10,10,9,2019,0,0,0,0,0,0,11926,0,0,0,0,0,0,0,0,0,0,13964
2019-09-11,11,9,2019,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,42039
2019-09-12,12,9,2019,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,12040
2019-09-13,13,9,2019,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,42041
2019-09-14,14,9,2019,0,0,6072,4604,0,0,9478,0,0,0,0,0,12378,0,0,0,0,34574
